ID,URL,NAME,ALTERNATE_NAMES,LAT,LON,ELEVATION_M,ELEVATION_FT,STATUS,FIRST_ASCENT_ON,FIRST_ASCENT_BY,DESCRIPTION,PROVINCE,DISTRICT,MUNICIPALITY,RANGE,NEPALESE_FEES,FOREIGNER_FEES
CHIB,https://nepalhimalpeakprofile.org/chhib-himal,Chhib Himal,"Chhiv,chhibh",28.873333333333335,84.16222222222223,6581.0,21817.0,Opened,18/09/2004,"Takeshi Wada,Mitsuhiro Koseki,Yubo Shibata,Takeo Yoshinaga",,Gandaki Pradesh,Mustang/Manang,Dalome/Nar,Damodar,Spring 5000 (NRs),Spring 400 (USD)
JOMS,https://nepalhimalpeakprofile.org/jomsom-himal,Jomsom Himal,"Jonsong,Jomsang",28.840833333333332,84.15583333333333,6581.0,20784.0,Opened,04/11/2023,"Hugues De Varax,Yves Exbrayat,Frederique Gaume,Paulo Grobel,Mingma Temba Sherpa",,Gandaki Pradesh,Manang,Nar Phu,Damodar,Spring 4000 (NRs),Spring 250 (USD)
CHKH,https://nepalhimalpeakprofile.org/changla-khang,Changla Khang,,30.153765309,82.2074,6581.0,21591.0,Proposed to open,,,,Karnali Pradesh,Humla/NC,Kharpunath/NC,Changla,Spring 5000 (NRs),Spring 400 (USD)
PHUN,https://nepalhimalpeakprofile.org/phu-khang-north,Phu Khang North,,28.820833333333333,84.43777777777778,6580.0,21542.0,Opened,,,Phu Khang North is part of Peri sub range of the Nepalese Himalayas and is located in the Manang district of Western Nepal.,Gandaki Pradesh,Manang/NC,Nar Phu/NC,Peri,Spring 5000 (NRs),Spring 400 (USD)
NAMS,https://nepalhimalpeakprofile.org/nampa-south,Nampa South,,29.985833333333336,80.99666666666667,6580.0,20276.0,Opened,,,,Sudhurpashchim Pradesh,Darchula,Api Himal/Byas,Gurans,Sp 4000 (NRs),Sp 250 (USD)
DHAG,https://nepalhimalpeakprofile.org/dhagpache,Dhagpache,"Dragpoche,Yansa Tsenji,Dhagpahe",28.25638888888889,85.60833333333333,6575.0,21572.0,Opened,,,"Dhagpache, part of Langtang sub-range of the Nepalese Himalayas, is located in th Rasuwa District of Central Nepal.",Bagmati Pradesh,Rasuwa/NC,Gosai Kunda/NC,Langtang,Sp 5000 (NRs),Sp 400 (USD)
CHWE,https://nepalhimalpeakprofile.org/chaw-east,Chaw Peak East,,27.9067,87.9591,6574.0,21568.0,Not open for expedition,,,"Chaw East peak is located in Janak mountain range of Nepal Himalaya. Chaw East peak is on the boundary of Province I and China. Chaw East peak is on the boundary of Taplejung district of Nepal and China, it lies on the boundary of Phaktanglung gaupalika and China. Chaw East peak is 1.6km East of Chaw peak and 1.3km north west of Ohmi Khang peak. Suyaokhang peak is 7.5km south west of Chaw East peak.",Province 1,Taplejung/NC,Phaktanglung/NC,Janak,Sp 5000 (NRs),Sp 400 (USD)
MALA,https://nepalhimalpeakprofile.org/malangphulang,Malangphulang,"Melanphlan,Hinku Ri,Melanpulan",27.802777777777777,86.87222222222222,6573.0,21565.0,Opened,28/04/2000,"Peter Carse,Amy Bullard",Malangphulang which lies in Mahalangur range of the Nepalese Himalayas is located in the Solukhumbu district of Eastern Nepal.,Province 1,Solukhumbu,Khumbu Pasang Lhamu,Mahalangur,Spring 5000 (NRs),Spring 400 (USD)
PETE,https://nepalhimalpeakprofile.org/pethangtse-east,Pethangtse East,,27.949444444444445,87.03611111111111,6572.0,21555.0,Opened,,,Pethangtse East is part of the Mahalangur range of the Nepalese Himalayas and is located in the Sankhuwasabha district of Eastern Nepal.,Province 1,Sankhuwasabha/NC,Makalu/NC,Mahalangur,Spring 5000 (NRs),Spring 400 (USD)
GHEN,https://nepalhimalpeakprofile.org/ghenye-liru,Ghenye Liru,"Ghenge Liru,Ghenge Lirung,Langtang II",28.247802,85.470848,6571.0,21640.0,Opened,28/05/1963,"Peter Taylor,Pasang Sherpa,Pasang Phutar Sherpa, ",Ghenye Liru part of Langtang sub range is located in Rasuwa District of Central Nepal.,Bagmati Pradesh,Rasuwa,Gosai Kunda,Langtang,Sp 5000 (NRs),Sp 400 (USD)
KBON,https://nepalhimalpeakprofile.org/kambong,Kambong,Konabon,28.659444444444443,83.30805555555555,6570.0,21555.0,Opened,,,,Gandaki Pradesh,Myagdi,Dhawalagiri,Dhaulagiri,Sp 5000 (NRs),Sp 400 (USD)
CHGL,https://nepalhimalpeakprofile.org/changla,Changla,,30.303055555555556,82.12888888888888,6563.0,21532.0,Opened,27/09/2010,"Hirofumi Kobayashi,Seiya Nakasukasa,Yuta Shibayama,Naoki Yamaguchi","Changla with the summit elevation of 6563 meters is the sub range of Nepalese Himalayas located on the international border or Nepal and Tibet, China. It is on the watershed between Humla Karnali to the west and Yarlung Tsangpo in the East. The Tibetan side is glaciated, and the western side has the rural Humla District of Nepal. It is the highest peak in the Humla region. The summit to this peak gives you a fantastic and unforgettable experience of the beautiful peaks and amazing landscapes.",Karnali Pradesh,Humla/NC,Kharpunath/NC,Changla,Rs (NRs), (USD)
TSOK,https://nepalhimalpeakprofile.org/tso-karpo-khang,Tso Karpo Khang,,29.368055555555557,82.78083333333333,6556.0,21509.0,Opened,25/10/1971,"Shoji Miyoshi,Koji Mizutani",Tso Karpo Khang which is part of the Kanjiraba sub range of the Nepalese Himalayas is located in the Dolpa district of Mid-Western Nepal.,Karnali Pradesh,Dolpa,Jagdulla/She,Kanjiroba,Spring 5000 (NRs),Spring 400 (USD)
HONG,https://nepalhimalpeakprofile.org/hongde,Hongde,Hangde,28.843055555555555,83.49916666666667,6556.0,21509.0,Opened,08/05/1962,"Shijiro Ishizaka,Zenkichi Hirayama,Takashi Miyahara,Ang Dawa Sherpa,Ang Temba Sherpa",,Gandaki Pradesh,Dolpa/Mustang,Chharka Tongsong/Barhagau,Damodar,Spring 5000 (NRs),Spring 400 (USD)
TRIP,https://nepalhimalpeakprofile.org/tripura-hiun-chuli,Tripura Hiun Chuli,"Hanging Glacier Peak,Tripura Thumba",29.32638888888889,82.7375,6553.0,21499.0,Opened,17/10/1986,"Noriyuki Hata,Katashi Tokimoto,Ang Phuri Sherpa",Tripura Hiun Chuli located in the Kanjiraba sub range of the Nepalese Himalayas. It is well known as the beautiful peaks nestled in the lap of Dolpa Region. It is also known as “Hanging Glacier Peak”.,Karnali Pradesh,Dolpa,Jagdulla,Kanjiroba,Spring 5000 (NRs),Spring 400 (USD)
NAN1,https://nepalhimalpeakprofile.org/nangamari-i,Nangamari I,,27.910555555555554,87.86861111111111,6537.0,21447.0,Opened,,,,Province 1,Taplejung/NC,Phaktanglung/NC,Kanchanjunga,Sp 5000 (NRs),Sp 400 (USD)
DOGA,https://nepalhimalpeakprofile.org/dogari-himal,Dogari Himal,,28.766666666666666,83.10027777777778,6536.0,21443.0,Opened,,,,Karnali Pradesh,Dolpa/Rukum,Kaike/Putha,Dhaulagiri,Spring 5000 (NRs),Spring 400 (USD)
YANG,https://nepalhimalpeakprofile.org/yangri,Yangri,Jugal,28.142777777777777,85.87388888888889,6535.0,21440.0,Opened,,,,Bagmati Pradesh,Sindhupalchok/NC,Jugal/NC,Jugal,Spring 5000 (NRs),Spring 400 (USD)
KARY,https://nepalhimalpeakprofile.org/karyolung,Karyolung,,27.733585,86.611572,6530.0,21424.0,Opened,31/10/1982,"Yoshiyuki Inoue,Masatoshi Iwasa,Hiroshi Nishie,Yogendra Thapa,Gita Bdr Joshi,Babu Ram Pun,Gore Tamang,Pemba Tshering Sherpa",Karyolung is in the Rolwaling mountain range of Nepal Himalayas. Karyolung is in Solukhumbu district of Province I. Karyolung is located on the boundary of Khumbu Pasang Lhamu gaupalika and Solu Dudh Kunda NP. Karyolung is 2.9km southeast of Khatang. Dudh Kunda is in 2.3km south of Karyolung. Lukla is 12km southeast of Karyolung.,Province 1,Solukhumbu,Solu Dudh KundaNP/Khumbu,Rolwaling,NRs 5000 in spring season (NRs),USD 400 in spring season (USD)
GHUN,https://nepalhimalpeakprofile.org/ghustung-north,Ghustung North,,28.680555555555557,83.24722222222222,6529.0,21421.0,Opened,22/10/1962," ,Roberts,Ang Pema Sherpa,Nawang Dorje Sherpa",,Gandaki Pradesh,Myagdi,Dhawalagiri,Dhaulagiri,Sp 5000 (NRs),Sp 400 (USD)
MARI,https://nepalhimalpeakprofile.org/mariyang,Mariyang,,29.693333333333335,82.8888888888889,6528.0,21417.0,Opened,,,,Karnali Pradesh,Dolpa/NC,She Phoksundo/NC,Palchunghamga,Spring 5000 (NRs),Spring 400 (USD)
LAMA,https://nepalhimalpeakprofile.org/mt-lama,Mt Lama,,29.8608,81.3696,6527.0,21414.0,Proposed to open,,,,Sudhurpashchim Pradesh,Bajhang,Kanda,Gurans,,
ROKN,https://nepalhimalpeakprofile.org/rolwaling-khang-north,Rolwaling Khang North,,27.9163,86.5308,6526.0,21411.0,Proposed to open,,,,Bagmati Pradesh,Dholkha,Gaurishankar,Rolwaling,Spring 5000 (NRs),Spring 400 (USD)
PHGE,https://nepalhimalpeakprofile.org/phunge,Phunge,,28.554444444444446,84.48583333333333,6524.0,21450.0,Opened,,,Phunge which lies in Manaslu sub range of the Nepalese Himalayas is located in the Manang district of Western Nepal.,Gandaki Pradesh,Manang,Nashong,Mansiri,Spring 5000 (NRs),Spring 400 (USD)
PHGI,https://nepalhimalpeakprofile.org/phungi,Phungi,,28.83,84.40277777777779,6524.0,21404.0,Opened,,,Phungi which lies in the Peri sub range of the Nepalese Himalayas is located in the Manang district of Western Nepal.,Gandaki Pradesh,Manang/NC,Nar Phu/NC,Peri,Spring 5000 (NRs),Spring 400 (USD)
SURM,https://nepalhimalpeakprofile.org/surma-sarovar-north,Surma Sarovar North,,29.835277777777776,81.08555555555554,6523.0,20987.0,Opened,,,,Sudhurpashchim Pradesh,Bajhang,Kanda/Bungal,Surma Saravar Lekh,Spring 4000 (NRs),Spring 250 (USD)
TSKP,https://nepalhimalpeakprofile.org/tso-karpo,Tso Karpo,,29.366666666666667,82.76666666666667,6518.0,21398.0,Opened,,,Tso Karpo which lies in the Kanjiraba sub range of the Nepalese Himalayas is located in the Dolpa district of Mid-Western Nepal.,Karnali Pradesh,Dolpa,Jagdulla,Kanjiroba,Spring 5000 (NRs),Spring 400 (USD)
KNTE,https://nepalhimalpeakprofile.org/kanti-east,Kanti East,,29.853055555555557,82.70222222222222,6516.0,21378.0,Opened,,,Kanti East which is part of Kanti sub range of the Nepalese Himalayas is located in the Mugu District of Mid-Western Nepal.,Karnali Pradesh,Mugu/NC,Mugu Makarmarong/NC,Kanti,Spring 5000 (NRs),Spring 400 (USD)
KYR2,https://nepalhimalpeakprofile.org/kyunga-ri-ii,Kyunga Ri II,,28.303333333333335,85.66472222222222,6506.0,21345.0,Opened,,,Kyunga Ri II which is part of Langtang sub range of the Nepalese Himalayas is located in the Rasuwa district of Central Nepal.,Bagmati Pradesh,Rasuwa/NC,Gosai Kunda/NC,Langtang,Sp 5000 (NRs),Sp 400 (USD)
PAN2,https://nepalhimalpeakprofile.org/pangpoche-ii,Pangpoche II,Pang PhunchII,28.61416666666667,84.6875,6504.0,21339.0,Opened,,,It is also known as Pang Punch II. It is part of Kutang sub range and is located in the Gorkha district of Western Nepal.,Gandaki Pradesh,Gorkha,Chum Nubri,Mansiri,Spring 5000 (NRs),Spring 400 (USD)
RON2,https://nepalhimalpeakprofile.org/rongshar-ri-ii,Rongshar Ri II,"Lunag West,Little Lunag",28.05,86.534866,6502.0,21332.0,Proposed to open,,,,Province 1,Solukhumbu/NC,Khumbu Pasang Lhamu/NC,Mahalangur,Spring 5000 (NRs),Spring 400 (USD)
TAWO,https://nepalhimalpeakprofile.org/tawoche,Tawoche,Taboche,27.897222222222222,86.78166666666667,6501.0,21309.0,Opened,15/04/1974,"Louis Dubost,Paul Gendre","Tawoche, located in the Mahalangur range of the Nepalese Himalayas, is connected to Chola Tse by a long ridge. It lies directly across the Imja River from Ama Dablam and above the Pheriche and Dingboche villages.",Province 1,Solukhumbu,Khumbu Pasang Lhamu,Khumbu,Spring 4000 (NRs),Spring 250 (USD)
SING,https://nepalhimalpeakprofile.org/singu-chuli,Singu Chuli,Fluted Peak,28.58722222222222,83.885,6501.0,21329.0,Opened,13/06/1957,"David Cox,Wilfred Noyce","Singu Chuli (6,501 m) is a striking mountain that stands right in the
centre of the Annapurna Sanctuary separating the West and South
Annapurna Glaciers.
While many commercial groups head to its much easier neighbour
Tharpu Chuli (Tent Peak), Singu Chuli remains a challenge reserved for
experienced climbers.
The first ascent was made by Wilf Noyce and David Cox on its North-East
Face and the top section of the East Ridge in 1957 and gave it the name
Fluted Peak. Various routes are possible but the South Ridge is the most
attractive line.
Singu Chuli makes for fabulous, easy to access, low-cost Himalayan
climbing in the centre of the awe-inspiring natural amphitheatre of the
Annapurna Sanctuary",Gandaki Pradesh,Kaski,Annapurna,Annapurna,Spring 5000 (NRs),Spring 400 (USD)
PURB,https://nepalhimalpeakprofile.org/purbung,Purbung,Putrung,28.80138888888889,84.02055555555556,6500.0,21325.0,Opened,,,,Gandaki Pradesh,Mustang/Manang,Nesyang/Barhagau,Damodar,Spring 5000 (NRs),Spring 400 (USD)
TKPO,https://nepalhimalpeakprofile.org/tengkhangpoche,Tengkhangpoche,"Thyangboche,Thyangmoche,Tengkangpoche",27.8039,86.5986,6500.0,21325.0,Opened,15/10/1984,"Trevor Pilling,Andy Zimet",,Province 1,Solukhumbu,Khumbu Pasang Lhamu,Rolwaling,Spring 4000 (NRs),Spring 250 (USD)
PANN,https://nepalhimalpeakprofile.org/pangbuk-north,Pangbuk North,Jobo LeCoultre,28.0244,86.5314,6496.0,21312.0,Proposed to open,,,,Province 1,Solukhumbu/NC,Khumbu Pasang Lhamu/NC,Rolwaling,Spring 4000 (NRs),Spring 250 (USD)
KTUN,https://nepalhimalpeakprofile.org/khatung-khang,Khatung Khang,Khatung Kang,28.776944444444442,83.9214,6484.0,21273.0,Opened,12/04/1956,"Arthur Baumgartner,Marguerite Deriaz",,Gandaki Pradesh,Mustang/Manang,Nesyang/Barhagau,Patrung Himal,Sp 4000 (NRs),Sp 250 (USD)
YAKA,https://nepalhimalpeakprofile.org/yakwa-khang,Yakawa Kang,,28.808611111111112,83.94444444444444,6482.0,21266.0,Opened,07/11/2010,"Hidenobu Tsuji,Dawa Norbu Sherpa,Dawa Tshering Sherpa,Tshering Tashi Sherpa",,Gandaki Pradesh,Mustang/Manang,Nesyang/Barhagau,Damodar,Spring 4000 (NRs),Spring 250 (USD)
GAN6,https://nepalhimalpeakprofile.org/ganesh-vi,Ganesh VI,"Lampo,Langpo Kangri",28.371111111111112,85.06388888888888,6480.0,22664.0,Opened,23/05/2000,"Osamu Tanabe,Yasuhiro Hanatani",Ganesh VI is part of Ganesh sub range which is located in the Gorkhar district of Western Nepal.,Gandaki Pradesh,Gorkha,Dharche,Ganesh,Rs (NRs), (USD)
BHRI,https://nepalhimalpeakprofile.org/bhrikuti,Bhrikuti,Damodar Himal,28.91888888888889,84.14750000000001,6476.0,21246.0,Opened,18/05/1982,"Takashi Sakuma,Masanobu Tsuchiya,Tashi Jangbu Sherpa",,Gandaki Pradesh,Mustang,Dalome,Damodar,Spring 4000 (NRs),Spring 250 (USD)
LNGK,https://nepalhimalpeakprofile.org/langchung-khang,Langchung Khang,,27.85611111111111,88.18138888888889,6475.0,22264.0,Opened,,,,Province 1,Taplejung/NI,Phaktanglung/NI,Kanchenjunga,Sp 5000 (NRs),Sp 400 (USD)
JARK,https://nepalhimalpeakprofile.org/jarkya-peak,Jarkya Peak,,28.741944444444446,84.52694444444444,6473.0,21237.0,Opened,,,Jarkya Peak is part of Manaslu sub range which is located in the gorkha district of western Nepal.,Gandaki Pradesh,Gorkha/NC,Chum Nubri/NC,Peri,Spring 4000 (NRs),Spring 250 (USD)
MERA,https://nepalhimalpeakprofile.org/mera-peak,Mera Peak,,27.70861111111111,86.87055555555555,6470.0,21227.0,Opened,15/05/2023," ,Roberts,Sen Tenzing Sherpa","Mera Peak located in the Mahalangur range of the Neapalese Himalayas is classified as a trekking peak. It contains three main summits : Mera North, Mera Central and Mera South. It is often claimed as the highest trekking peak.",Province 1,Solukhumbu,Mahakulung,Khumbu,Spring 4000 (NRs),Spring 250 (USD)
GHUS,https://nepalhimalpeakprofile.org/ghustung-south,Ghustung South,,28.672222222222224,83.2461111111111,6465.0,21211.0,Opened,,,,Gandaki Pradesh,Myagdi,Dhawalagiri,Dhaulagiri,Sp 4000 (NRs),Sp 4000 (USD)
MAHA,https://nepalhimalpeakprofile.org/mahalangur-peak,Mahalangur Peak,,28.1069982098,86.5648999547,6464.0,21207.0,Proposed to open,,,,Province 1,Solukhumbu/NC,Khumbu Pasang Lhamu/NC,Mahalangur,Spring 4000 (NRs),Spring 250 (USD)
YASE,https://nepalhimalpeakprofile.org/yanme-khang-south-east,Yanme Khang South East,,27.9382,87.8615,6462.0,21201.0,Proposed to open,,,,Province 1,Taplejung/NC,Phaktanglung/NC,Janak,Spring 4000 (NRs),Spring 250 (USD)
MARW,https://nepalhimalpeakprofile.org/mariyang-west,Mariyang West,,29.689444444444444,82.87555555555555,6455.0,21178.0,Opened,,,Mariyang West lies in Palchunhamga sub-range of the Nepalese Himalayas and is located in the Dolpa district of Mid-Western Nepal.,Karnali Pradesh,Dolpa/NC,She Phoksundo/NC,Palchunghamga,Spring 4000 (NRs),Spring 250 (USD)
SPH2,https://nepalhimalpeakprofile.org/sharphu-ii,Sharphu II,,27.75777777777778,87.92166666666667,6454.0,20761.0,Opened,,,,Province 1,Taplejung,,Kanchenjunga,Spring 4000 (NRs),Spring 250 (USD)
PATR,https://nepalhimalpeakprofile.org/patrasi,Patrasi,"Kande Hiunchuli North,Sisne Himal East",29.421111111111113,82.5925,6450.0,21161.0,Opened,,,Patrasi which lies in Kanjiraba sub range of the Nepalese Himalayas is located in the Dolpa district of Mid-Western Nepal.,Karnali Pradesh,Mugu/Dolpa,Jagdulla/Mugu,Patrasi,Spring 4000 (NRs),Spring 250 (USD)
MAYT,https://nepalhimalpeakprofile.org/mayung-thang-khang,Mayung Thang Khang,,29.76972222222222,82.74666666666667,6449.0,19669.0,Opened,,,Mayung Thang Khang lies in Kanti sub range of the Nepalese Himalayas and is located in the Mugu district of Mid-Western Nepal.,Karnali Pradesh,Mugu/NC,Mugu Makarmarong/NC,Kanti,Spring 4000 (NRs),Spring 250 (USD)
KNCH,https://nepalhimalpeakprofile.org/kanchauni,Kanchauni,"Kangtsune,Kangchunne,Kanchauni Lekh,Kanchauni,Kang Chunne,Kang Chunne Peak",29.2368,82.7918,6444.0,21141.0,Proposed to open,,,,Karnali Pradesh,Dolpa,,Kanjiroba,,
KOJC,https://nepalhimalpeakprofile.org/kojichwa-chuli,Kojichwa Chuli,Kojichuwa Chuli,29.865555555555556,82.64361111111111,6439.0,21125.0,Opened,25/05/2023,"Ken Fujikawa,Yuta Kawamura,Satoshi Kimoto",Kojichwa Chuli wichi lies in Kanti sub range of the Nepalese Himalayas is located in the Mugu district of Mid-Western Nepal.,Karnali Pradesh,Mugu/NC,Mugu Makarmarong/NC,Kanti Himal,Sp 4000 (NRs),Sp 250 (USD)
HIUC,https://nepalhimalpeakprofile.org/hiun-chuli,Hiun Chuli,Patal Hiunchuli,28.510277777777777,83.85194444444444,6434.0,21109.0,Opened,09/10/1971,"Craig Anderson,Peter Cross,Jim Richards,John Skow,Lane Smith","Hiunchuli (6,441 m) forms a formidable south-facing wall together with
Annapurna South. It has a reputation for being prone to avalanche, rock fall
and route finding difficulty – there is no obvious ‘standard’ line up and is best
tackled in true expedition style.
Even though it offers new route potential, it has received little attention from
mountaineers and is rarely climbed. The most common approaches are via
the Southeast Face or Northwest Face though the latter is seldom attempted.
Hiunchuli’s eastern face overlooks the Modi Khola and guards the entrance
to the Annapurna Sanctuary. An American Peace Corps Expedition first
climbed Hiunchuli in October 1971 via the Southeast Face.
As access is easy and altitude limited, the climb offers excellent Himalayan
mountaineering with an itinerary of just less than three weeks.",Gandaki Pradesh,Kaski,Annapurna,Annapurna,Spring 4000 (NRs),Spring 250 (USD)
SPH4,https://nepalhimalpeakprofile.org/sharphu-iv,Sharphu IV,,27.81527777777778,87.92027777777778,6433.0,20249.0,Opened,,,,Province 1,Taplejung,Phaktanglung,Kanchenjunga,Spring 4000 (NRs),Spring 250 (USD)
YAUP,https://nepalhimalpeakprofile.org/yaupa,Yaupa,Yaupa Central,27.836944444444445,87.14305555555556,6432.0,21076.0,Opened,14/09/1989,"Andy Fanshawe,Vic Saunders,Stephen Sustad",Yaupa which lies in the Mahalangur range of the Nepalese Himalayas is located in the Sankhuwasabha district of Eastern Nepal.,Province 1,Sankhuwasabha/NC,Makalu/NC,Mahalangur,Spring 4000 (NRs),Spring 250 (USD)
LNJU,https://nepalhimalpeakprofile.org/langju,Langju,,28.545833333333334,85.05527777777777,6426.0,21083.0,Opened,,,Langju is part of Shringi sub range of the Nepalese Himalayas and is located in the Gorkha district of Western Nepal.,Gandaki Pradesh,Gorkha,Chum Nubri,Puchen,Spring 4000 (NRs),Spring 250 (USD)
CHOL,https://nepalhimalpeakprofile.org/chola-tse,Chola Tse,"Arakam Tse,Tsolatse,Jobo Lhaptshan",27.92027777777778,86.76888888888888,6423.0,21073.0,Opened,21/04/1982,"John Roskelley,Galen Rowell,Vern Clevenger,Bill,Connor","It is also known as Arkam Tse, Tsolatse or Jobo Lhaptshan. Chola Tse lies in the Khumbu Region of the Nepalese Himalayas. It is connected to Taboche Himal by a long ridge. The north and east face of Choa Tse can be viewed from Dughla on the trail of Mount Everest base camp. Chola Tse is a peak with a stunning view with narrow icy, snowy ridges and steep falls. In Tibetan language Cho mean Lake, La mean pass and Tse mean Peak so Literally Chola Tse peak “Lake pass Peak”.",Province 1,Solukhumbu,Khumbu Pasang Lhamu,Khumbu,Sp 4000 (NRs),Sp 250 (USD)
SHER,https://nepalhimalpeakprofile.org/sherson,Sherson,"Peak 3,Shershon,Yaupa Shar",27.8339,87.1289,6422.0,21069.0,Opened,22/04/1984,"Doug Scott,Jean Afanassieff,Larry Bruce,James Fullalove,Molly Higgins",Sherson which lies in the Mahalangur range of the Nepalese Himalayas is located in the Sankhuwasabha district of Eastern Nepal.,Province 1,Sankhuwasabha/NC,Makalu/NC,Mahalangur,Spring 4000 (NRs),Spring 250 (USD)
CHUW,https://nepalhimalpeakprofile.org/chulu-west,Chulu West,,28.743333333333336,84.025,6419.0,21059.0,Opened,23/10/2023,"Kinji Imanishi,Kazuhiko Hayashi,Sasuke Nakao,Jiro Taguchi,Masataka Takagi,Sakuta Takebushi","If Chulu Far East is the Island Peak of the Annapurnas, then Chulu West is
the Mera Peak alternative. There is no real technical difficulty in reaching the
summit but progress can be slow depending on snow conditions. Above base
camp some steep loose rock requires some fixing of ropes.
Chulu West was first ascended in 1952 by a Japanese Expedition.
Between Chulu West and East is Chulu Central. Chulu Central is rarely
attempted by commercial groups, being very similar in nature to the West
peak. It has a sometimes tricky rock section to negotiate before the actual
summit.",Gandaki Pradesh,Manang,Nesyang/Nar,Damodar,Sp 4000 (NRs),Sp 250 (USD)
LARK,https://nepalhimalpeakprofile.org/larkya-peak,Larkya Peak,,28.626944444444444,84.545,6416.0,21050.0,Opened,27/09/2023,"Archil Badriashvili,Giorgi Tepnadze,Bakar Gelashvili","Larky Peak lies in the Manaslu conservation area, on the north of Manaslu North and is visible form the northeast along the Manaslu Circuit trek. It is one of the newly opened treks to enter the Tibetan territory. The main attraction of Larky peak is the panaromic view of the Himalayas including Manaslu, Himlung Himal, Ganesh Himal and Annapurna along with other Tibetan ranges.",Gandaki Pradesh,Manang/Gorkha,Nashong/Chum,Manaslu,Spring 4000 (NRs),Spring 250 (USD)
LSIS,https://nepalhimalpeakprofile.org/langshisha-ri,Langshisha Ri,Langsisa Ri,28.216944444444444,85.71638888888889,6412.0,21037.0,Opened,22/04/1982,"Takuya Kajimoto,Pasang Norbu Sherpa","Langsisa Ri used to be a full expedition peak until the Government of Nepal put it under the control of the NMA in 2002. It is situated in the popular Langtang trekking region and is a technically challenging peak being perhaps one of the most difficult of the trekking peaks after Kusum Kanguru. Langsisa Ri is ideal for those who want a Himalayan expedition-style
challenge with a very simple, affordable permit system. Langtang also has the advantage of quick access from Kathmandu with plenty of small peaks to explore and acclimatize on.",Bagmati Pradesh,Rasuwa,Gosai Kunda,Jugal,Spring 4000 (NRs),Spring 250 (USD)
LHAS,https://nepalhimalpeakprofile.org/lhashamma,Lhashamma,Pinnacle Peak,29.22583333333333,82.74722222222222,6412.0,21037.0,Opened,13/05/1962,"Josephine Scarr,Barbara Spark,Mingma Tsering Sherpa,Pemba Norbu Sherpa",It is also known as Pinnacle Peak. It is part of Kanjiraba sub range of the Nepalese Himalayas and is located in the Mugu and Dolpa district of Mid-Western Nepal.,Karnali Pradesh,Dolpa,Jagdulla/She,Kanjirowa,Spring 4000 (NRs),Spring 250 (USD)
SWAK,https://nepalhimalpeakprofile.org/swaksa-khang,Swaksa Khang,,29.68638888888889,82.85833333333333,6405.0,21014.0,Opened,,,Swaksa Khang which is part of the Palchunhamga sub range of the Nepalese Himalayas is located in the Dolpa district of Mid-Western Nepal.,Karnali Pradesh,Dolpa/NC,She Phoksundo/NC,Kanjiroba,Spring 4000 (NRs),Spring 250 (USD)
CHAP,https://nepalhimalpeakprofile.org/chaw-peak,Chaw Peak,,27.90972222222222,87.94416666666667,6404.0,20981.0,Opened,,,Chaw peak is in Janak Mountain Range of Nepal Mountain Range. Chaw peak is on the boundary of Province I and China. Chaw peak is on the boundary of Phaktanglung gaupalika in Taplejung District of Nepal. This is a boundary peak. Chaw peak is 5.9km east of Pabuk Khang on the boundary ridge of Nepal and China. Chaw peak is 2.8km north west of Ohmi Khang and 6km north east of Suyaokhang peak.,Province 1,Taplejung/NC,Phaktanglung/NC,Janak,NRs 4000 in spring season (NRs),USD 250 in spring season (USD)
YOKO,https://nepalhimalpeakprofile.org/yoko-pahad,Yoko Pahad,Nampa Sudur Pashchim PradeshI,30.015,81.03999999999999,6401.0,21073.0,Opened,,,,Sudhurpashchim Pradesh,Darchula/Bajhang,Byas/Kanda,Gurans,Spring 4000 (NRs),Spring 250 (USD)
BAMO,https://nepalhimalpeakprofile.org/bamon-go,Bamongo,,27.90861111111111,86.43527777777778,6400.0,21017.0,Opened,,,Bamongo is in the Rolwaling Himal mountain range of Nepal Himalayas. Bamon Go is an open mountain peak for expedition. Bamon Go is on the boundary of Dolakha and China. Bamon Go is on the boundary of Bagmati Province and China. Bamon Go is on the boundary of Gaurishankar gaupalika and China. Bamon Go is 1.0km west of Khang Nachu Go and 1.9 km east of Cheki Go.,Bagmati Pradesh,Dolakha/NC,Gaurishankar/NC,Gaurishankar,NRs 4000 in spring season (NRs),USD 250 in spring season (USD)
TSAR,https://nepalhimalpeakprofile.org/tsartse,Tsar Tse,,28.86138888888889,83.64861111111112,6398.0,20810.0,Opened,,,,Gandaki Pradesh,Mustang,Gharpajhong/Barhagau,Mukut Himal,Spring 4000 (NRs),Spring 250 (USD)
LHAY,https://nepalhimalpeakprofile.org/lhayul-peak,Lhayul Peak,,29.97611111111111,80.86888888888888,6397.0,20981.0,Opened,,,,Sudhurpashchim Pradesh,Darchula,Byas/Api,Api Himal,Spring 4000 (NRs),Spring 250 (USD)
TAKP,https://nepalhimalpeakprofile.org/takphu-himal,Takphu Himal,,30.28388888888889,81.41777777777779,6395.0,20981.0,Opened,,,Takphu Himal lies in Nalakankar sub range of the Nepalese Himalayas and is located in the Humla district of Mid-Western Nepal.,Karnali Pradesh,Humla/NC,Namkha/NC,Nalakankar,Spring 4000 (NRs),Spring 250 (USD)
